Palta;160;Unidad mediana (150g);10;10
Damasco;150;3 unidades medianas;15;30
Arándano;100;Puñado, con la mano cerrada (20g);5;25
Caqui (persimon);65;Unidad mediana (150g);25;
Castaña cruda;30;Unidad (10g);3;65
Castaña tostada;25;Unidad (3g);3;65
Cereza;100;12 unidades (100g);15;25
Ciruela;100;2 unidades medianas (100g);15;35
Coco fresco;200;Tajada mediana (35g);2;45
Coco seco;150;Cucharada colmada (20g);1;45
Dátil;15;Unidad (12g);7;70
Frambuesa;150;Un puñado, con la mano cerrada (20g);5;25
Frutillas;200;8 unidades grandes (200g);10;25
Granada;70;Unidad mediana (175g);25;35
Grosella;200;Puñado, con mano cerrada (20g);1;25
Grosella negra;140;Puñado, con mano cerrada (20g);2;15
Higos;100;Unidad mediana (50g);5;35
Kiwi;100;Unidad mediana (100g);10;50
Limón;No valorable;;;
Litchi;70;6 unidades (70g);10;50
Mandarina;100;Unidad mediana (100g);10;30
Mango;100;½ unidad;15;50
Manzana;100;Unidad mediana (200g);15;35
Manzana asada;50;Unidad mediana (120g);25;35
Durazno;100;Unidad mediana (200g);15;35
Durazno en lata común;50;Una mitad (50g);15;35
Durazno en lata light;;2 mitades;15;35
Melón;200;Un taza en cubos (200g);15;60
Membrillo;150;Unidad mediana (350g);25;35
Membrillo, dulce de;20;;;65
Moras;150;Un puñado, con mano cerrada (20g);2;25
Naranja;100;Unidad mediana (200g);15;35
Níspero;100;Unidad mediana (33g);3;55
Papaya;125;Una tajada (250g);20;55
Pera;100;Unidad mediana (200g);15;30
Ananá;100;¾ taza;15;45
Ananá en lata dietético;85;2 rodajas (100g);15;53
Banana;50;Unidad pequeña (100g);15;50
Sandía;200;Una tajada grande (200g);15;75
Uva;50;12 unidades (100g);15;45
Pomelo;;½ unidad;15;
Cóctel de frutas dietético;;1 compotera;15;
