Acelga;300;Plato grande (250g);8;15
Ajo;40;3 dientes (10g);3;30
Alcaucil;300;Plato grande (150g);5;20
Alga;200;;;
Apio;500;;;15
Apio-nabo;500;Guarnición (125g);3;
Berenjena;300;Guarnición (125);4;20
Berenjena;300;Unidad grande (300g);10;20
Berro;No valorable;;;15
Brócoli;300;Plato grande (300g);10;15
Calabacín;300;Unidad grande (300g);10;15
Calabaza/Zapallo;200;1 taza cocido o 2 rodajas;15;75
Cebolla;150;Unidad mediana (150g);10;15
Cebolla frita en aros;100;;;
Champiñón;No valorable;;;15
Chucrut;No valorable;;;15
Repollo de Bruselas, Coliflor;300;Plato grande (300g);5;15
Endibia;300;Unidad (100g);3;15
Escarola;No valorable;;;15
Espárrago blanco en conserva;300;;;15
Espárrago verde;500;;;15
Espinaca;No valorable;;;15
Chauchas;250;Plato grande (250g);10;30
Lechuga;300;Ración individual (70g);3;15
Repollo morado;No valorable;;;15
Nabo;300;Unidad (100g);3;30
Palmitos;200;Unidad (25g);1;20
Pepino;300;Unidad mediana (150g);5;15
Pimiento rojo/verde;300;Unidad mediana (150g);5;15
Puerro;300;Unidad mediana (75g);3;15
Rábano;300;5 unidades medianas (100g);3;15
Remolacha;150;;;30
Repollo;300;Guarnición (125g);4;15
Hongos;300;Plato grande (200g);7;15
Soja en brotes;300;;;15
Tomate;300;Unidad mediana (150g);5;30
Zanahoria;150;Unidad mediana (70g);5;30
Zanahoria en conserva;225;;;
Zanahoria hervida;200;Unidad mediana (70g);5;85
Papa al horno o asada;35;;;62
Papa cruda;65;;;
Papa hervida;65;Guarnición (100g);15;65
Papa hervida;65;Plato mediano (200g);30;65
Papa hervida;65;Plato grande (300g);50;65
Papa chips;20;Bolsa pequeña (30g);15;95
Papas fritas;30;Guarnición (60g);20;70
Papas fritas;30;Porción hamburguesería (120g);40;70
Puré de papas elaborado con leche;80;;;90
Puré de papas en copos;15;;;90
