Arepa;25;Unidad;40;72
Azúcar blanco;10;Cucharada postre (8g);8;70
Azúcar blanco;10;Sobre (8g);8;70
Azúcar blanco;10;Cucharada sopera (20g);20;70
Azúcar moreno;10;Cucharada postre (8g);8;70
Azúcar moreno;10;Sobre (8g);8;70
Azúcar moreno;10;Cucharada sopera (20g);20;70
Barrita energética (de cereales);20;Unidad (25g);13;70
Masita vainilla;20;Unidad comercial individual (25g);13;65
Bollería en general;20;;;70
Cacao en polvo;12;Cucharada postre (8g);7;
Cacao en polvo;12;Cucharada sopera (20g);17;
Cacao en polvo sin azúcar;22;Cucharada postre (8g);4;
Cacao en polvo sin azúcar;22;Cucharada sopera (20g);9;
Calamares a la romana;120;4 unidades;10;
Canelones con bechamel;100;3 unidades (250g);25;
Caramelo;12;Unidad (5g);4;70
Milanesa;150;Un filete de 100g de carne;6;
Chocolate >90% cacao;75;;;
Chocolate blanco o con leche;17;Pastilla (8g);5;70
Chocolate blanco o con leche;17;Tableta individual (30g);17;70
Chocolate negro;25;Pastilla (8g);3;20
Chocolate negro;25;Tableta individual (30g);12;20
Churros;25;2 unidades (25g);10;
Mantequilla de maní;100;Cucharada sopera colmada (20g);2;40
Crema de cacao;25;Cucharada sopera colmada (25g);10;55
Crema pastelera;40;Cucharada sopera colmada (20g);5;
Crepe;40;Unidad (75g);20;
Croquetas;50;3 unidades (90g);18;
Medialuna;20;Unidad (60g);30;70
Döner kebab;60;Unidad;60;
Dona;23;Unidad (58g);25;75
Empanada de carne;50;2 unidades (80g);16;
Ensaimada;23;Unidad (70g);30;70
Ensaladilla rusa;100;;;
Fajita, tortilla mejicana;20;Unidad comercial (40g);20;
Fructosa (edulcorante);10;Cucharada sopera (20g);20;20
Gazpacho comercial;150;Vaso (200cc);13;
Gelatina 0%;500;Unidad (125cc);2;
Gelatina comercial;62;Unidad (125cc);20;
Glucosa (líquida o en pastillas);10;Pastilla pequeña (2,5g);3;100
Glucosa (líquida o en pastillas);10;Pastilla normal (5g);5;100
Glucosa (líquida o en pastillas);10;Gel hipoglucemia;15;100
Glucosa (líquida o en pastillas);10;Gel deporte (40g);25;100
Golosinas;18;;;70
Ketchup;50;Sobre (9g);2;55
Lasaña;100;Plato restaurante (260g);27;53
Levadura;130;;;
Magdalena;25;Unidad (50g);20;70
Mazapán;25;Unidad (35g);14;
Merengue;11;;;
Mermelada;20;Cucharada sopera (25g);13;65
Mermelada light;100;Cucharada sopera (25g);3;30
Miel;13;Cucharada sopera (18g);;85
Mostaza;No valorable;;;
Palomitas;20;;;85
Pastel de chocolate;25;Porción (100g);40;
Pastel de crema;35;Porción (100g);28;
Pepinillos en vinagre;No valorable;;;
Pizza;40;Pizza individual (400g);100;45
Pizza;40;Triángulo (100g o 1/4 parte de pizza);25;45
Pizza;40;Media pizza (200g);50;45
Regaliz;15;Unidad (8g);5;
Rollito de primavera;50;2 unidades (100g);20;
Salsa barbacoa;100;3 cucharadas soperas (50g);5;
Salsa bechamel;100;3 cucharadas soperas (50g);5;
Salsa boloñesa;150;5 cucharadas soperas (75g);5;
Salsa carbonara;No valorable;;;
Salsa de soja;No valorable;;;
Salsa de tomate comercial;100;3 cucharadas soperas (50g);5;
Seitán;300;Porción (100g);3;
Sucedáneo de café;No valorable;;;
Tarta de manzana;25;Porción (100g);40;
Tofú;300;Porción (100g);3;
Tortilla de papas;120;Tapa (100g);10;
Turrón de maní navideño;25;1/6 tableta (50g);20;
Turrón tipo chocolate;20;1/6 de tableta (50g);25;
Turrón de almendras;25;1/6 tableta (50g);20;
Vinagre;No valorable;;;
Aceto balsámico;15;Cucharada sopera (15g);10;
Empanada árabe;; 1 unidad;30;
Humita en chala;; 1 unidad;30;
Humita;; 1 porcion de 150g;30;
Locro 1 plato hondo;;75;;
Sushi roll;; 3 unidades;15;
Chipa;; 1 unidad pequeña;15;
Tamal;; 1 unidad;15;
